source_pdf,page,mg_sample_no,sample_id,sample_description,sieve_mm,passing_pct
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",19.0,99.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",13.2,94.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",9.5,91.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",6.7,89.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",4.75,88.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",2.36,85.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",1.18,83.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.6,80.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.425,76.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.3,68.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.212,54.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.15,41.0
S26240-1_Reports__03_06_26_.pdf,10,S116201,ABH2_1.0-2.0,"Silty Clayey SAND, trace of gravel",0.075,30.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",200.0,100.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",75.0,100.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",63.0,100.0
S26240-1_Reports__03_06_26_.pdf,13,S116202,ABH5_0.13-1.5,"Sandy Silty CLAY, trace of gravel",37.5,100.0
